reportedyear,crime,Neighbourhood,Lat,Long
2014,Break and Enter,Bedford Park-Nortown (39),43.7323952,-79.4194107
2014,Break and Enter,Trinity-Bellwoods (81),43.6507835,-79.4134979
2014,Assault,Mount Pleasant East (99),43.7003136,-79.3869705
2014,Assault,Milliken (130),43.8012695,-79.2966003
2014,Assault,Danforth East York (59),43.6887817,-79.3258591
2014,Assault,Yonge-Eglinton (100),43.7054634,-79.4000931
2014,Assault,Dovercourt-Wallace Emerson-Junction (93),43.6684685,-79.4390335
2014,Assault,Weston (113),43.7030106,-79.525444
2014,Break and Enter,Humber Summit (21),43.7520943,-79.5423813
2014,Assault,Mount Dennis (115),43.6886597,-79.4942169
2014,Robbery,Humbermede (22),43.7509613,-79.5411224
2014,Assault,Woodbine-Lumsden (60),43.6924973,-79.3157349
2014,Assault,Morningside (135),43.7855453,-79.2062912
2014,Assault,Morningside (135),43.7855453,-79.2062912
2014,Assault,Agincourt North (129),43.8110886,-79.2660065
2014,Break and Enter,West Hill (136),43.7739258,-79.1895294
2014,Break and Enter,Eringate-Centennial-West Deane (11),43.6661034,-79.587677
2014,Assault,Yorkdale-Glen Park (31),43.7035904,-79.4524231
2014,Assault,Dorset Park (126),43.766674,-79.2769699
2014,Theft Over,Regent Park (72),43.6594315,-79.3627167
2014,Break and Enter,Wexford/Maryvale (119),43.7467461,-79.3034058
2014,Assault,Casa Loma (96),43.6831703,-79.4183044
2014,Robbery,Tam O'Shanter-Sullivan (118),43.780304,-79.3149643
2014,Assault,Waterfront Communities-The Island (77),43.6513329,-79.3573914
2014,Assault,Moss Park (73),43.6494522,-79.3714676
2014,Assault,Downsview-Roding-CFB (26),43.7327728,-79.5039444
2014,Assault,Downsview-Roding-CFB (26),43.7327728,-79.5039444
2014,Break and Enter,Roncesvalles (86),43.6403351,-79.4379196
2014,Assault,Pleasant View (46),43.7785606,-79.3287048
2014,Assault,Beechborough-Greenbrook (112),43.691227,-79.4703979
2014,Break and Enter,Agincourt North (129),43.8110161,-79.2843399
2014,Assault,Greenwood-Coxwell (65),43.6788673,-79.3268204
2014,Robbery,Greenwood-Coxwell (65),43.6788673,-79.3268204
2014,Break and Enter,South Riverdale (70),43.65942,-79.3474426
2014,Assault,West Hill (136),43.7630692,-79.1937714
2014,Break and Enter,Roncesvalles (86),43.6410294,-79.4345169
2014,Assault,Dorset Park (126),43.7495003,-79.2749329
2014,Assault,Mount Olive-Silverstone-Jamestown (2),43.7468147,-79.5838089
2014,Assault,Downsview-Roding-CFB (26),43.7335815,-79.4837265
2014,Assault,Highland Creek (134),43.7865829,-79.1883087
2014,Robbery,Highland Creek (134),43.7865829,-79.1883087
2014,Assault,Waterfront Communities-The Island (77),43.6453743,-79.3920593
2014,Assault,Milliken (130),43.8065834,-79.2907562
2014,Robbery,Cabbagetown-South St.James Town (71),43.6671104,-79.3691177
2014,Theft Over,Downsview-Roding-CFB (26),43.723835,-79.5257263
2014,Assault,Church-Yonge Corridor (75),43.6565018,-79.3771439
2014,Robbery,Kingsway South (15),43.6508102,-79.5223618
2014,Robbery,Kingsway South (15),43.6508102,-79.5223618
2014,Break and Enter,Islington-City Centre West (14),43.6328163,-79.5465927
2014,Assault,Wexford/Maryvale (119),43.7269974,-79.2914658
2014,Assault,Wexford/Maryvale (119),43.7269974,-79.2914658
2014,Assault,Wexford/Maryvale (119),43.7269974,-79.2914658
2014,Robbery,Malvern (132),43.8051834,-79.2266846
2014,Assault,Maple Leaf (29),43.7205162,-79.4807281
2014,Assault,Maple Leaf (29),43.7205162,-79.4807281
2014,Assault,Regent Park (72),43.6601143,-79.3662872
2014,Break and Enter,Roncesvalles (86),43.640995,-79.4427872
2014,Break and Enter,Agincourt South-Malvern West (128),43.7857628,-79.2894592
2014,Assault,Don Valley Village (47),43.7876511,-79.3516541
2014,Break and Enter,Woburn (137),43.7622032,-79.2262497
2014,Assault,Yonge-Eglinton (100),43.7054634,-79.4000931
2014,Robbery,Don Valley Village (47),43.781662,-79.3572998
2014,Robbery,Islington-City Centre West (14),43.6472054,-79.5255127
2014,Assault,West Hill (136),43.7648697,-79.1848831
2014,Assault,Morningside (135),43.7752113,-79.2186813
2014,Assault,Ionview (125),43.7299652,-79.2778625
2014,Assault,Oakridge (121),43.6947632,-79.2764053
2014,Assault,Mount Olive-Silverstone-Jamestown (2),43.7410965,-79.5892334
2014,Assault,Willowdale East (51),43.7781868,-79.4129181
2014,Assault,Waterfront Communities-The Island (77),43.6377716,-79.3957443
2014,Break and Enter,Church-Yonge Corridor (75),43.6679993,-79.3858566
2014,Assault,Glenfield-Jane Heights (25),43.7490463,-79.5234985
2014,Assault,South Riverdale (70),43.662674,-79.3328171
2014,Assault,Newtonbrook West (36),43.7738609,-79.4430084
2014,Assault,Church-Yonge Corridor (75),43.6657257,-79.3809586
2014,Assault,Black Creek (24),43.7688293,-79.520401
2014,Assault,Black Creek (24),43.7688293,-79.520401
2014,Assault,Niagara (82),43.6390228,-79.4159164
2014,Assault,Weston-Pellam Park (91),43.6703377,-79.4557953
2014,Break and Enter,Lawrence Park South (103),43.7237091,-79.3943558
2014,Break and Enter,Wexford/Maryvale (119),43.7461014,-79.2912674
2014,Break and Enter,Bathurst Manor (34),43.7643509,-79.4614334
2014,Assault,Wexford/Maryvale (119),43.752903,-79.3097687
2014,Assault,Mount Dennis (115),43.6894913,-79.5050659
2014,Robbery,Downsview-Roding-CFB (26),43.7297173,-79.4797058
2014,Assault,Yorkdale-Glen Park (31),43.7101669,-79.4570465
2014,Theft Over,Annex (95),43.6680336,-79.397377
2014,Assault,Trinity-Bellwoods (81),43.6475945,-79.4101715
2014,Assault,Kennedy Park (124),43.7222824,-79.2621231
2014,Break and Enter,Malvern (132),43.8055801,-79.2209244
2014,Assault,Regent Park (72),43.661377,-79.3635483
2014,Robbery,Regent Park (72),43.661377,-79.3635483
2014,Theft Over,Clanton Park (33),43.7407112,-79.4388733
2014,Break and Enter,West Humber-Clairville (1),43.7468796,-79.6220245
2014,Break and Enter,Kensington-Chinatown (78),43.6540527,-79.4004288
2014,Break and Enter,High Park-Swansea (87),43.6463623,-79.4539719
2014,Robbery,Regent Park (72),43.661377,-79.3635483
2014,Robbery,Regent Park (72),43.661377,-79.3635483
2014,Theft Over,Don Valley Village (47),43.7758369,-79.3437195
2014,Break and Enter,Don Valley Village (47),43.7838974,-79.3528824
2014,Assault,Moss Park (73),43.6556091,-79.3727646
2014,Assault,Moss Park (73),43.6556091,-79.3727646
2014,Assault,Black Creek (24),43.7645454,-79.508934
2014,Assault,Woburn (137),43.7735023,-79.2306824
2014,Assault,Church-Yonge Corridor (75),43.66465,-79.3805237
2014,Assault,Mount Dennis (115),43.6883087,-79.4931412
2014,Break and Enter,Dovercourt-Wallace Emerson-Junction (93),43.6643562,-79.4345322
2014,Assault,Newtonbrook West (36),43.783062,-79.4421921
2014,Assault,East End-Danforth (62),43.6801109,-79.2925949
2014,Assault,Caledonia-Fairbank (109),43.6918983,-79.4562531
2014,Assault,Rosedale-Moore Park (98),43.6862335,-79.3933334
2014,Break and Enter,Rosedale-Moore Park (98),43.6862335,-79.3933334
2014,Assault,Birchcliffe-Cliffside (122),43.6874542,-79.2839737
2014,Assault,Bedford Park-Nortown (39),43.739872,-79.4216461
2014,Robbery,Briar Hill-Belgravia (108),43.6962624,-79.4476852
2014,Break and Enter,Guildwood (140),43.7482834,-79.1958313
2014,Break and Enter,Beechborough-Greenbrook (112),43.6917191,-79.4676971
2014,Assault,East End-Danforth (62),43.6821976,-79.2994843
2014,Robbery,Rouge (131),43.8042259,-79.1687851
2014,Assault,West Humber-Clairville (1),43.7439194,-79.6054993
2014,Assault,Annex (95),43.6726723,-79.4037018
2014,Robbery,Caledonia-Fairbank (109),43.6878624,-79.4531097
2014,Assault,Church-Yonge Corridor (75),43.6649551,-79.379097
2014,Break and Enter,Kensington-Chinatown (78),43.6558113,-79.3920746
2014,Assault,Weston (113),43.700161,-79.5162048
2014,Break and Enter,North St.James Town (74),43.6664314,-79.376503
2014,Break and Enter,Lansing-Westgate (38),43.746933,-79.4344177
2014,Break and Enter,Bayview Village (52),43.7657547,-79.3842926
2014,Robbery,Mount Olive-Silverstone-Jamestown (2),43.7444992,-79.5827103
2014,Robbery,Mount Olive-Silverstone-Jamestown (2),43.7444992,-79.5827103
2014,Robbery,Englemount-Lawrence (32),43.7290611,-79.4459915
2014,Assault,Kensington-Chinatown (78),43.6487656,-79.3963776
2014,Assault,Victoria Village (43),43.7189102,-79.3044662
2014,Break and Enter,North St.James Town (74),43.6696587,-79.3757858
2014,Assault,Malvern (132),43.7984123,-79.2098007
2014,Assault,Malvern (132),43.7984123,-79.2098007
2014,Assault,Dovercourt-Wallace Emerson-Junction (93),43.6611519,-79.4294357
2014,Break and Enter,Don Valley Village (47),43.7790871,-79.3487396
2014,Break and Enter,Edenbridge-Humber Valley (9),43.6592293,-79.5141373
2014,Assault,East End-Danforth (62),43.6765289,-79.3048859
2014,Break and Enter,Highland Creek (134),43.7930183,-79.1733017
2014,Robbery,Banbury-Don Mills (42),43.7354164,-79.3471375
2014,Robbery,Banbury-Don Mills (42),43.7354164,-79.3471375
2014,Assault,Edenbridge-Humber Valley (9),43.6665077,-79.5267258
2014,Assault,Church-Yonge Corridor (75),43.6613731,-79.38311
2014,Break and Enter,Agincourt South-Malvern West (128),43.7871361,-79.2704926
2014,Assault,Scarborough Village (139),43.7406693,-79.2246857
2014,Break and Enter,Clanton Park (33),43.7493629,-79.4438858
2014,Robbery,Rouge (131),43.8042259,-79.1687851
2014,Assault,Annex (95),43.6659164,-79.4074707
2014,Break and Enter,South Riverdale (70),43.6602898,-79.3435898
2014,Robbery,Kennedy Park (124),43.7273941,-79.2526321
2014,Assault,Wychwood (94),43.674408,-79.4337845
2014,Assault,Hillcrest Village (48),43.8044243,-79.3602066
2014,Break and Enter,Mimico (includes Humber Bay Shores) (17),43.6142044,-79.5172729
2014,Assault,Kingsview Village-The Westway (6),43.695816,-79.5627365
2014,Break and Enter,Dovercourt-Wallace Emerson-Junction (93),43.6704216,-79.4492493
2014,Break and Enter,Bendale (127),43.7655144,-79.2524872
2014,Assault,Dovercourt-Wallace Emerson-Junction (93),43.666729,-79.4464645
2014,Assault,Long Branch (19),43.5936623,-79.5370026
2014,Robbery,Mount Olive-Silverstone-Jamestown (2),43.7559433,-79.5902252
2014,Assault,University (79),43.6569824,-79.4052277
2014,Break and Enter,Westminster-Branson (35),43.7816391,-79.4552994
2014,Assault,Cliffcrest (123),43.7336807,-79.2270126
2014,Robbery,Bendale (127),43.7736168,-79.2611313
2014,Break and Enter,Rouge (131),43.8002815,-79.1990814
2014,Assault,West Humber-Clairville (1),43.689518,-79.5873032
